Voltage,Current,Power
0,4.95,0
5,4.95,24.75
10,4.95,49.5
9.9878787879,4.95,49.44
10.195959596,4.95,50.47
10.404040404,4.95,51.5
10.6121212121,4.95,52.53
10.8202020202,4.95,53.56
11.0282828283,4.95,54.59
11.2363636364,4.95,55.62
11.4444444444,4.94,56.5355555556
11.6525252525,4.94,57.5634747475
11.8606060606,4.93,58.4727878788
12.0686868687,4.92,59.3779393939
12.2767676768,4.91,60.2789292929
12.4848484848,4.9,61.1757575758
12.6929292929,4.88,61.9414949495
12.901010101,4.86,62.6989090909
13.1090909091,4.84,63.448
13.3171717172,4.81,64.0555959596
13.5252525253,4.78,64.6507070707
13.7333333333,4.75,65.2333333333
13.9414141414,4.71,65.6640606061
14.1494949495,4.67,66.0781414141
14.3575757576,4.62,66.332
14.5656565657,4.57,66.5650505051
14.7737373737,4.52,66.7772929293
14.9818181818,4.46,66.8189090909
15.1898989899,4.39,66.6836565657
15.397979798,4.32,66.5192727273
15.6060606061,4.24,66.1696969697
15.8141414141,4.15,65.6286868687
16.0222222222,4.06,65.0502222222
16.2303030303,3.97,64.4343030303
16.4383838384,3.86,63.4521616162
16.6464646465,3.75,62.4242424242
16.8545454545,3.63,61.182
17.0626262626,3.51,59.8898181818
17.2707070707,3.37,58.2022828283
17.4787878788,3.23,56.4564848485
17.6868686869,3.08,54.4755555556
17.8949494949,2.93,52.4322020202
18.103030303,2.76,49.9643636364
18.3111111111,2.58,47.2426666667
18.5191919192,2.4,44.4460606061
18.7272727273,2.2,41.2
18.9353535354,2,37.8707070707
19.1434343434,1.79,34.2667474747
19.3515151515,1.56,30.1883636364
19.5595959596,1.33,26.0142626263
19.7676767677,1.09,21.5467676768
19.9757575758,0.83,16.5798787879
20.1838383838,0.57,11.5047878788
20.3919191919,0.29,5.9136565657
20.6,0,0
